Tweets,Sentiment
And csk is most followed team on Twitter inspite of not playing 2 seasons. But always love #csk,positive
@IPL      #csk             #,neutral
#IPL without Chennai #CSK is lik food without salt and spice,neutral
#CSK fans ku Vaai mattum illayo,neutral
Most followed @IPL team on @Twitter is @ChennaiIPL #MyCSK #ChennaiSuperKings @msdhoni @ImRaina #CSK,positive
jbse #CSK hati h m dekhta hi ni hu IPL sbse achi team ko hata diya sab ko pata h IPL paise ka khel h isme sb involve h,neutral
   ..  ? #CSKRewind #IPL #CSK http:// bit.ly/2p8XL2x pic.twitter.com/cDC4O6D92u,neutral
Thala back... Ball over the roof... Waiting ipl11 #csk  ...    ... @ChennaiIPL,neutral
#CSK next year baby..... waise v #2k16_nd_2k17 ka #IPL dekh hi ny rha m...... #MAHI_CSK  https://www. instagram.com/p/BS-WD7Rj8D2/,neutral
Champions are coming back again in 2018 #CSK .... others team be careful pic.twitter.com/TFWjwHUuFS,negative
#HBDMurali HAPPY BIRTHDAY Mr. 800... #Whistlepodu #csk,positive
We're waiting in suspended animation for #CSK to be back https:// twitter.com/arasiarul/stat us/853812448570351616 ,neutral
Dhoni....the north still remembers! #CSK,neutral
   ..  ? #CSKRewind #IPL #CSK http:// bit.ly/2p8XL2x pic.twitter.com/pjEOEV7nBC,neutral
Ms Dhoni vs Usen polt.. #Indians #Ms dhoni #Csk pic.twitter.com/WgKQKuHEAA,neutral
It's just Sample ... Waiting for #SummerOf18 #CSK #Yaarukuda Vayasu aagiduchi pic.twitter.com/DDdhcn6Zby,neutral
Mahi maar raha he moment. Pic credit cricfit #msdians #msd #csk #ipl10 #rps #bleeddhonism  https://www. instagram.com/p/BS-RExND9ef/,neutral
@hvgoenka say bye bye to the ipl man next year the legend team is coming under the legend captain #whistlepodu #csk #msd,neutral
Dhoni Dhoni Dhoni #mahi #msdians #msdian #legend #csk #rps https://www. instagram.com/p/BS-OpEQDAw4/,neutral
Looking forward to seeing you in YELLOW soon.. #CSK #ThalaDhoni @ChennaiIPL You belong with us @msdhoni,neutral
#CSK #ThalaDhoni @ChennaiIPL @msdhoni #2K18    #IPL2018 https:// twitter.com/mudichavikki/s tatus/853272043298725888 ,neutral
#cskforever we miss u @msdhoni plZ next year #csk team mein aa Jana apne gar,neutral
if @msdhoni had been part,neutral
#csk da #ipl #2018 #msd da https:// twitter.com/itzthanesh/sta tus/853668183269662720 ,neutral
#MSD back to lead #CSK http:// fb.me/1CtlhXKDG,neutral
Dang Dang Dang Dang 7aum Number Don!!! #DhoniSwagger #CSK #IPL2018 #ReturnOfLegacy http:// fb.me/3G1GVqbeQ,neutral
Fans can't wait for #BCCI 's official announcement on return of #CSK next season,neutral
I year more for #CSK entry @Singaperumalkoil,positive
Goyyala #CSK daa https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,neutral
#dhoni #Csk #2k18 is #Chennai kolla mass pic.twitter.com/sG3GD556a4,neutral
#DhoniForever #Dhoni #Csk fan pic.twitter.com/GHfA9AihTX,neutral
Whatta six Last night match #MsD . Stunning SiX..Very Excited To Nxt year #CsK 2018... @ChennaiIPL .. #Just The Beginning  . pic.twitter.com/LQq8Avme8w,positive
What is for sure he's does not have the same passion playing for Pune as he did for Chennai #RPS #CSK #IPL,positive
All smiles after the match #RCBvRPS #Csk pic.twitter.com/L5nPTMVimR,neutral
This shot thala #msdhoni @msdhoni Loved it. Waiting for the return of @ChennaiIPL #csk #msd pic.twitter.com/hOfNYYrTLj,positive
I used to love his batting and complete him but today after reading this i fell for him again. My 3 favs in one team was bloody good. #csk https:// twitter.com/bazmccullum/st atus/853258275571154945 ,positive
#RPS doesn't deserve this.. want #csk back.. #RPSvsRCB #msdhoni https:// twitter.com/IPL/status/853 645515258572800 ,neutral
CSK is team Dhoni is Emotion & Love #Dhoni #CSK,positive
Being a fan of @RPSupergiants team.. hope that they will bounce back from here.. Although never mind.. #CSK will be back in next year..,neutral
#stump "Dhoni 28" #RCBvRPS #Dhoni #csk pic.twitter.com/NVuxp8eoi9,neutral
  ,neutral
#csk #cskforever #ipl #IPL #IPL2017 #IPLFever RT If u miss #CSKteam !! pic.twitter.com/WhaGz3gFUQ,neutral
      #CSK @hvgoenka,neutral
@ChennaiIPL This was taken at RCB vs CSK match at BLR,neutral
Pls stop parrating abt Pune..Things are going well...U concentrate on #GL & #CsK ..,neutral
#msdhoni d ball landed in chepuk for Next year bang bang #CSK returns,neutral
#CSK on field #Veralevel https:// twitter.com/iParth_/status /853526141784739842 ,neutral
@msdhoni we are waiting for 2k18 to see MSD once again ruling @ChennaiIPL #csk,neutral
Thala @msdhoni Next Level.... #MSDian #OutOfStadium #Stumping https:// goo.gl/fvA5ZP #RCBvRPS #CSK #BleedYellow,neutral
Please anyone tell me distance of the #six ??? #RPSvsRCB #Dhoni #csk #MSDhoni #RPS pic.twitter.com/NFiLv1Goae,neutral
#RCBvRPS who was the captain of Pune today? I saw @msdhoni making changes on the field today? @stevesmith49 learning mind it #csk,neutral
The Moments That Made My Day! #MSD24K #MassiveSix #QuickFireStumping #CSK #RCBvRPS #MSDhoni @ChennaiIPL @msdhoni pic.twitter.com/ztBf6x5hiG,neutral
Look at the love for #CSK #cskforever https:// twitter.com/aj191/status/8 53533564041744384 ,positive
#csk will be back wid a bang,neutral
#csk will be back next year for sure.... just waiting for that,positive
Best part abt today's match: ppl shouting #csk #csk during #RCBvRPS @ChennaiIPL,positive
You Needed One Fielder On The Roof That Was A Bang From @msdhoni @ChennaiIPL #CSK #MSDhoni #RCBvRPS https:// twitter.com/IPL/status/853 645515258572800 ,neutral
Don't worry next year #CSK is coming with powerful batting line up and bowling. https:// twitter.com/Caped_Humor/st atus/853672092654379008 ,positive
Chants of Dhoni! Dhoni! and CSK!CSK! at Bengaluru ! Crazy @ChennaiIPL 2018 will be bigger ! #Csk #BestFanArmy @IPL,negative
Mark My Words : #RPS Are Back In The Tournament Iam Waiting For #CSK For A While,neutral
THAT'S THE DHONI POWER WARNER SIR..... #CSK 2018.,neutral
The ball reached Chennai! #CSK awaited #MSD https:// twitter.com/davidwarner31/ status/853633037220708352 ,neutral
Quicker hands than #ABD ... #MSD @spindoctorLS @SriniMama16 #CSK,neutral
Great come back team @RPSupergiants and our #CSK captain as well @msdhoni ... #MSDhoni,positive
17th match is over. 43 to go for #csk to return #ipl @ChennaiIPL,neutral
It's just beginning...Main pic coming soon 2018 #ipl11 #csk,positive
16th match is over. 44 to go for #csk to return #ipl @ChennaiIPL,neutral
#RCB = #Vaiko of #IPL Entertains but never succeed #IPL2017 #IPL #TamilNadu #cskreturns #csk,neutral
 #RPSG #CSK ,neutral
Give me back my #CSK ! Can't wait fa #Summer '18 Every1 associated with CSK has such gud words to share https:// twitter.com/aj191/status/8 53533564041744384 ,neutral
Chennai Super Kings      ! #CSK #,positive
#IPL is boring without #CSK,negative
#RCBvRPS thanks for #bangalore fans remembered #CSK Match in #Chennai #dhoni #dhoni #dhoni @msdhoni @msdfansofficial,positive
The winning moments... ppl r chanting #csk csk csk....!!! @ChennaiIPL ! @russcsk #RCBvRPS #ipl pic.twitter.com/4pyqZzPYr4,positive
#RPS ey thakku pudikka mudila. #RCB still thinks #CSK as rivals,neutral
#MSDhoni Next Year #CSK @ChennaiIPL pic.twitter.com/atouP4Sawd,neutral
 ....  .. #CSK #msdhoni #ipl #IPL2018 #ChiyaanVikram #DhuruvaNatchathiram #Happybirthdaychiyaan pic.twitter.com/TSTGQlhCxj,neutral
Just the news of #CSK formation did this...imagine #Dhoni at #IPL2018 . #Thaa Sangu Di,neutral
Feel that moment of next year #csk #ipl #IPL2018 #msdhoni pic.twitter.com/FZnyl5byOU,neutral
  #CSK  .   IPL  ,neutral
Madly Waiting 4 #CSK Entry 2018..  #Chepauk   #VIRU    .. #Ipl,negative
    ... #CSK,neutral
Corrupted #CSK,neutral
#CSK #Whistlepodu #RPSvRCB #IPL #SummerOf18 pic.twitter.com/vveQCXs6hL,neutral
CSK WILL BE BACK NEXT YEAR!!!! #Whistlepodu #csk,neutral
Csk        #Dhoni #csk pic.twitter.com/0OoCAAJzKP,neutral
@ChennaiIPL #Csk Love pic.twitter.com/uPrb5iyE3Z,positive
Os dejo nuevo edit,neutral
Whole Chinnaswamy stadium chanting Dhoni Dhoni #CSK,positive
That's dhoni. That's our thala #csk @ChennaiIPL,neutral
#incrediblehumans #csk pic.twitter.com/ztXzXSm3o0,neutral
#CSK @ChennaiIPL be like.. Naa varen !! Feel it ! #WhistlesWillBeBack pic.twitter.com/ZN5QZf4zKN,neutral
#RPS win or lose...always waiting for #CSK ...and a wonderful comeback from @msdhoni ..making the trollers and critics repent.. #MSDian_forever,positive
#RCBvRPS whom shd i support #CSK captain or cricket god @ABdeVilliers17,neutral
Inspite of #CSK not playing 2 seasons. https:// twitter.com/SeerviBharath/ status/853620721284767744 ,neutral
Finally #MI 95 in 167 beats #CSK 94 in 156 to become most victorious team..       #dhoni,positive
Only I know how much I am waiting for him to wear that #YellowJersy again. #CSK #Dhoni #Ipl,positive
Most Successful Team In 20-20 cricket #MI - (95 Wins)* #CSK - (94 Wins),positive
Yes,neutral
   #csk ".   2010,neutral
Nxt year #Csk #Dhoni helicopter shot ku waiting ! https:// twitter.com/ChennaiIPL/sta tus/853633546384138241 ,neutral
Jo bhi #CSK fan hai vo other ipl team ko agr follow kr rhe hai to un teamo ko unfollow kr do sirf CSK ko follow kro #dhoni #westandbydhoni,negative
The most loved ipl team everrrrrr congratss #CSK https:// twitter.com/ChennaiIPL/sta tus/853642268107919361 ,positive
#CSK ke bina IPL is not the same. Big team,neutral
#CSK           #     ....,neutral
@SirJadeja #csk #ipl #Dhoni sends the ball to the roof ... probably on its way to meet RPS owner pic.twitter.com/oj0j3plsdT,neutral
Most followed #ipl team on Twitter #csk !! https:// twitter.com/ChennaiIPL/sta tus/853642268107919361 ,positive
       . #IPL2017 #CSK #MI @MahelaJay @mipaltan http:// vilaiyattu.com/home/news/cric ket/ipl/%E0%AE%9A%E0%AF%86%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AF%88-%E0%AE%9A%E0%AF%82%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%B0%E0%AF%8D-%E0%AE%95%E0%AE%BF%E0%AE%99%E0%AF%8D%E0%AE%B8%E0%AF%8D-%E0%AE%9A%E0%AE%BE/ ,neutral
Free ah vidu rads namakku eppovum #Csk mattum tha,positive
Am I the only one who is missing Faf #Duplessis and Bravo in this IPL? Waiting for #IPL2018 #IPL2017 #CSK,negative
Must buy those yellow Jersey next year.. #CSK .. #Dhoni ..,neutral
N then achievement is this!! @msdhoni @SaakshiSRawat #westandbydhoni #csk #IPL10 pic.twitter.com/c1Pbh37cRO,neutral
We seriously need #CSK in #ipl .. the tournament is getting poorer match after match #RCBvRPS #IPL2017,negative
#Mumbai Indians overtake #CSK in victory over Lions Highlights from the #IPL match #mivsgl http:// fb.me/911t1nE5z,neutral
Really Very Missing my @ChennaiIPL Waiting for Next year #IPL2k18 #whistlepodu #Msd24K #BestCaptain #CSK,negative
#Dhoni #Csk #Rps pic.twitter.com/2pie2pTRRN,neutral
#csk  .....,neutral
   #Form -   #ipl  #CSK    #Form -  #msdhoni,neutral
#MSD says to his fans that the beast in him is still there .ini next year #CSK la adha mulusa pakka paarom . #HappyFeeling #RCBvRPS,neutral
i am blocked hahaha #MahiForever #msd #csk #ipl pic.twitter.com/BsfZRhgKEk,positive
I absolutely respect MSD. But looks like he's being a liability to @RPSupergiants .Feels like he doesn't belong in this team. #Csk #RCBvRPS,positive
   CSK  . #CSK,neutral
           .. ..  . #Thala #msdhoni #CSK pic.twitter.com/dNhorGBYl6,neutral
#CSK @ChennaiIPL https:// twitter.com/bazmccullum/st atus/853258275571154945 ,neutral
Just following up #RPSG only for this man #Msdhoni ..2 years still no bond felt towards team.. proud #csk fan.. #cskreturns #IPL10,positive
Cricket Fans: What are you searching,neutral
Runs are coming thick and fast for RPS. #CSK #WhistlePodu #RCBvRPS @ChennaiIPL,negative
Kids Hit Six Men hit out of park Only Legends hit the balls not to use again #Dhoni #CSK,neutral
It's jus travel from Chinnaswamy stadium to Chepauk . #ThalaArrivingSoon #CSK #WhistlePodu moments on d way,neutral
Out of the park. Massive hit. #CSK #WhistlePodu,neutral
That's the one #CSK fans been waiting for. #RCBvsRPS out of the park #HelicopterShot,neutral
That was a monster from Dhoni. Out of the stadium. #RCBvRPS #CSK @ChennaiIPL,neutral
Ahaa asalu enduku aadali? Ahaa enduku cheppandi vintanu.. Next #CSK vostundi appudu dummu lepadam guarantee.. Fav cheskondi ..,neutral
U know @ChennaiIPL is more than a team. When u see player's missing #CSK equally along with fans. #IPL #Whistlepodu https:// twitter.com/aj191/status/8 53533564041744384 ,positive
#Prediction is his Versatility...! #Dhoni is a precious gem... #RespectDhoni #WeStandByDhoni Trend till the last...... #CSK #IPL #RPSvsRCB pic.twitter.com/jmryQzIOa2,positive
Mama thala fav Grnd (when he s in #CSK ),neutral
What I feel is he is not liking this pune franchise,neutral
#NSrinivasan was humbled by banning #CSK . Why wasn't #RCB banned fr @TheVijayMallya fr loot? Why wasn't #KKR banned for @iamsrk for ED case?,neutral
@ChennaiIPL Missing #CSK please jldi aajao purani team leke ...,negative
# ??????   #      .... #Csk,neutral
TL #CSK da pic.twitter.com/VTIt5CyYDY,neutral
It's so awesome to see @msdhoni play #csk nostalgia,positive
Gethu da #csk,neutral
#CSK fan's ideal scenario today: Dhoni scores a scorcher and #RPS loses! #RCBvRPS #IPL,positive
   #csk pic.twitter.com/8ZDoT3GEEg,neutral
#RCBvRPS #csk #dhoni #westandbydhoni #IPL10 #IPL2017 We love you dhoni...!!! https:// youtu.be/GHnSld8-Vks,positive
Be Scared Haters ,neutral
#CSK KING F IPL,neutral
@ChennaiIPL @russcsk just watching Pune and Rcb match only to see the King of Kings come out to bat. @russcsk thanks for sharing the pic. #Csk,positive
I am really missing him play for #CSK .. Next yr we will b back with a bang #WhistlePodu,negative
@ChennaiIPL CSK The King Of Ipl will return in style along side #MSD . #CSK fan forever #Cskian4Life #ipl #returnOfThePride #WhistlePodu pic.twitter.com/MKMe4XxX6z,neutral
When Dhoni enters The Ground Fans be like Goosebumps moment.... #Dhoni #Csk #RCBvRPS pic.twitter.com/W5S12uPjDn,neutral
yeah #CSK too,neutral
@DJBravo47 Miss your dance moves #Bravo in this #Ipl #CSK is waiting for you... @ChennaiIPL pic.twitter.com/uwfnP4H5P4,neutral
Exactly Sir :) no other can be seen wen they are playing at der home. Pitches.. And not forgetting #CSK,positive
Most matches won in T20 cricket: 95: MI* 94: CSK 90: Lancashire But #CSK boss of all teams! Banned for 2 years & still on 2nd spot #MIvGL,positive
maa #csk apathbandavudu badrinath Ni evaru theesukoleda,neutral
Its time for all #CSK fans & @msdhoni fans lets once again teach a lesson to @RPSupergiants & @hvgoenka . #RCBvRPS,neutral
SHOW LOVE TO #CSK #cskreturns to #battlefield in next #IPL .Show your support to the team -------> buy now : http:// goo.gl/sPQgl9 <------- pic.twitter.com/ANqZzr1I7e,positive
Come On @imVkohli & @RCBTweets ,neutral
    ,neutral
Spread Over two extra seasons DOT! #CSKDAW ! #csk,neutral
Damn how much i miss #CSK,positive
King of IPL #CSK #IPL11 #DHONI http:// fb.me/7FwuNBZdU,neutral
Agr es team ke captain #dhoni hote to yh team #CSK jaise jitti,neutral
I should have bought my #Csk Jersey at least! #Whistlepodu,negative
#IPL2017 Perfect example of United we stand #CSK divided we fall #GL #RPS #SonySix,positive
#RPS #10SaalAapkeNaam we will be back in next season as #CSK,neutral
@sak_twits Don't we will back with bang... #CSK #CSK #CSK,neutral
@legendnavin @ChennaiIPL we are madly waiting bazzz! Come soon #Csk,negative
15th match is over. 45 to go for #csk to return #ipl @ChennaiIPL,neutral
I am so excited about CSK's comeback ! Not so interested in GL RPS matches ! #CSK #forever,positive
Here to support #Msdhoni #Mahi RangWahiJungNayi #csk http:// ift.tt/2pmfnaS pic.twitter.com/3B4hP1SwD1,neutral
Ash,neutral
waiting to see @QuinnyDeKock69 in #CSK can we????,neutral
#Theri Baby #ipl #IPL2017 #IPL2018 #Csk #MSDhoni pic.twitter.com/nOa0bNQYVJ,neutral
Match day.. supporting @ChennaiIPL and #MSD Form is temporary,positive
add him in #CSK next season mama.,neutral
next season #CSK player. And And @QuinnyDeKock69 also. Eagerly waiting....,neutral
Yess...u were the besstest cricket team ever nd just 1 yr u will be back #csk,neutral
#westandbydhoni #csk #ipl #IPL2017 pic.twitter.com/jv1yMJZKXR,neutral
Mama from 2018,neutral
@SriniMama16 can u remember few big players played for #CSK but ppl won't that thy played for @ChennaiIPL For Example @flintoff11 #IPL2017,negative
#Dhonidropped I don't care next year he will be back to where he belongs #csk,neutral
Yes,neutral
Dei Raja won't be easy to get the same team. Ajinkya opening with Baz,positive
#Thala will be back next season! #IPL #CSK https:// twitter.com/spindoctorLS/s tatus/853593482950324227 ,neutral
Can't wait to see you playing for #CSK @ChennaiIPL,neutral
Let's hope today dhoni Come back to his form #we stand for dhoni #csk,neutral
Gud to see u guys #boys are back #csk reunion https:// twitter.com/russcsk/status /853010781457104898 ,neutral
It happened to Bravo while playing fr #csk https:// twitter.com/BrokenCricket/ status/853551482162913280 ,neutral
#Csk https:// twitter.com/iParth_/status /853526141784739842 ,neutral
Waiting for #CSK ... http:// fb.me/1jE2jDHvy,neutral
Why everyone around is predicting that we won't be having the same #CSK squad as earlier! Without the same players. CSK WON'T BE CSK,neutral
First it was BAZZ now Andrew Tye. Only in @ChennaiIPL you can see this kind of stuff!!! #csk https:// twitter.com/aj191/status/8 53533564041744384 ,positive
#csk #chennai #home #chill #friendsforever #happytimes pic.twitter.com/INpT0WKEF6,neutral
I was Hope #Csk will be Back on 2018... Rpsg & GL....players are change to Yellow #WistlePodu .....mamu,neutral
Today is the day He will resurrect from the dead & return in triumph! Yes,negative
My #favourite #team #teamo #chennai #super #king #csk #namba #chennai #dhoni #mccullum  https://www. instagram.com/p/BS8dijSlzDP/,positive
#csk da pic.twitter.com/04StLSSXTF,neutral
@ChennaiIPL bhai #csk next year comeback kar rhe ho na..?,neutral
#CSK is back <3 #whistle puddoooooo ;p :P :D (H) http:// fb.me/3FPgkmgSn,neutral
Thalaivan gone 28(29) GL 81-2 Come on #GL #Csk,neutral
#imotions #love #inspiration #life great #feeling & so so on & is 1&only a #mahi team #CSK Frvr,positive
Nammakku eppothum namba @ChennaiIPL thaan saar #Csk #whistlepodu,neutral
#CSK   4      .   ...,neutral
Use khelna bhi nhi chahiye pune ki taraf se ,neutral
#CSK @ChennaiIPL,neutral
#GujaratLions The only team which i show my complete support after #CSK #sureshraina #cskreturns #CSKian #IPL #IPL2017,positive
     Make way for Chennai Super Kings!!! #CSK https:// twitter.com/mudichavikki/s tatus/853272043298725888 ,positive
Major missing #csk,negative
Gujarat Lions @TheGujaratLions the only team after #csk to have more fan base throughout #India ..!!! #GLvMI @ChennaiIPL #sureshraina,negative
@msdhoni ur views on returning to #CSK ?,neutral
We are waiting to watch IPL from next year atleast #CSK -THE KING OF IPL #RETURNS TO ITS DEN WITH A HUGE ROAR https:// twitter.com/GuruMaheshGJ/s tatus/853479779135365120 ,positive
#CSK https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,neutral
2 more months and we will be back officially. #WhistlePodu @ChennaiIPL #CSK,positive
Planning to renew my CSK Membership. Unable to do so. King's club in the site isn't working. Pls fix it boys! Can't wait. #IPL #CSK,negative
Earth shattering entry for sure in #IPL2018 . #Dhoni will roar .we are passing time here. #CSK da.     ,positive
Just one more year Mumbai your rivals will be back for some entertainment #CSK #WhistlePodu,positive
Cant buy the Words from the heart .. #CSK,neutral
#mumbaiindians Is really missing #csk in this IPL @Whistlepodu4Csk #IPL #MIvGL #VIVOIPL #CricketMeriJaan #IPL #HappyEaster #cricket #IPLT pic.twitter.com/dHA7E2ZLtn,negative
#dhoni #csk    ()   pic.twitter.com/iaB9udM51D,neutral
#cskreturns #Whistlepodu #csk #captiancool #Thala #MSDhoni https:// twitter.com/bazmccullum/st atus/853258275571154945 ,neutral
Varom da adutha season. CSK is just not a team it's an emotion. Most important yenga #msdhoni will lead the side. #CSK #Chennaisuperkings,positive
Divided by teams,neutral
@ChennaiIPL #SummerOf18 #CSK pic.twitter.com/SXoTvxvdvj,neutral
ThankYou @aj191 For Remembering The Place Where You Began. #CSK @ChennaiIPL It's A Family,neutral
@ChennaiIPL We r waiting 4 the return of our #CSK Family in 2018 still can't tolerate this year's @IPL Just watching & Supporting @msdhoni,positive
#CSK #TheBoysWillBack #whistlePodu #Bleedyellow @ChennaiIPL @ImRaina @msdhoni @Bazmccullum @imjadeja @SirJadeja @Raina_Universe pic.twitter.com/C4FUQdGDsy,neutral
@ChennaiIPL #CSK is not a team,neutral
Next yr this gang will be back with bang #CSK https:// twitter.com/russcsk/status /853010781457104898 ,neutral
Yellow jersey combination is back,neutral
@ChennaiIPL family #super family #best family.. lv u & missing u #csk pic.twitter.com/yBZTzqkOCy,positive
Looks Like Everyone Routing For #CSK Return #CSK Mania Everywhere #IPL #IPL2017 @IPL @ChennaiIPL @Russcsk https:// twitter.com/aj191/status/8 53533564041744384 ,neutral
Undoubtedly!! #CSK https:// twitter.com/radan9626/stat us/853541281431076864 ,neutral
#MakkalTeam #MakkalCaptian #CSK Can't wait to See #WhistlePodu,neutral
Divided by Jerseys United by Team #CSK pic.twitter.com/Wy5DCXmEl8,neutral
@Bazmccullum Totally love the bond the entire @ChennaiIPL #CSK shares. . Players,positive
Will Dhoni make a switch to #CSK ? Whatever happens we are waiting to welcome the yellow and blue .. #WhistlePodu ... http:// fb.me/1XHPBWbBW,positive
Never Ending Love for #CSK The Den is awaiting for their Lions arrival.,positive
#WhistlesWillBeBack #yellow #csk #cskreturns #cskforever #CSKian @ChennaiIPL @msdhoni We are waiting for #IPL11 pic.twitter.com/LiIWKED2qa,neutral
Will Dhoni make a switch to #CSK ? Whatever happens we are waiting to welcome the yellow and blue .. #WhistlePodu ... http:// fb.me/5iyIm2JMc,positive
#family #csk https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,neutral
@ChennaiIPL @msdhoni @russcsk #CSK https:// twitter.com/ARUNSEKAR1111/ status/853489955737186304 ,neutral
Our Very Own #Csk Family #WhistlesWillBeBack #SummerOf18 @ChennaiIPL @russcsk https:// twitter.com/aj191/status/8 53533564041744384 ,positive
#csk daaa https:// twitter.com/KakkaiSithar/s tatus/851709968621461504 ,neutral
thats what @msdhoni has been maintaining a good atmospehere in #csk & #TeamIndia & results r out for u to see #dhoni #westandbydhoni #ipl https:// twitter.com/ggwitter/statu s/853402303717560320 ,positive
#Csk with #thaladhoni as captain is back #Whistlepodu @iamdinesh19 @Karthikeyan11r @CSKFansOfficial @cskFC @Whistlepodu4Csk @gunamkce pic.twitter.com/tdnr7swn2v,neutral
#CSK #CSKforLife @ChennaiIPL https:// twitter.com/Bazmccullum/st atus/853258275571154945 ,neutral
If #csk is back will #sureshraina ,neutral
hope to see you back in Yellow next season #Whistlepodu #CSK,neutral
We have good news coming in for Chennai Super Kings #CSK and Rajasthan Royals #RR fans... Stay tuned. http:// fb.me/TnOvhFjd,positive
StayCalmBelieveDhoni Yay #CSK surely he wil bounce back in 2k18 #KingsGonnaComeBack Don't b a chameleon #Dhonidropped wil regret it ltr,positive
@BCCI always surprise me with double stand . #CSK can come back after two year who prove to be guilty can't @sreesanth36 who proved innocent pic.twitter.com/J7NFGn1foC,neutral
